51769,0.17,90.25,2021-10-28 02:59:56.903995,kt_house
253538,0.85,438.04,2021-10-28 03:00:26.776684,kt_house
235746,0.79,407.43,2021-10-28 03:00:56.966472,kt_house
104632,0.35,181.57,2021-10-28 03:04:31.149765,kt_house
133504,0.45,231.37,2021-10-28 03:05:01.404331,kt_house
0,0.00,0.62,2021-10-28 03:05:32.395108,kt_house
78484,0.26,136.42,2021-10-28 03:06:03.195578,kt_house
62621,0.21,109.01,2021-10-28 03:06:33.578629,kt_house
47548,0.16,82.95,2021-10-28 03:07:03.639561,kt_house
19155,0.06,33.81,2021-10-28 03:07:34.311025,kt_house
94830,0.32,164.65,2021-10-28 03:08:04.405658,kt_house
115689,0.39,200.65,2021-10-28 03:08:35.397132,kt_house
0,0.00,0.62,2021-10-28 03:09:06.404386,kt_house
0,0.00,0.62,2021-10-28 03:09:37.396076,kt_house
98055,0.33,170.21,2021-10-28 03:10:07.890070,kt_house
99597,0.33,172.88,2021-10-28 03:10:38.032823,kt_house
27537,0.09,48.32,2021-10-28 03:11:08.478601,kt_house
0,0.00,0.62,2021-10-28 03:11:38.492512,kt_house
239772,0.80,414.36,2021-10-28 03:12:08.955073,kt_house
245947,0.82,424.98,2021-10-28 03:12:39.722426,kt_house
78385,0.26,136.25,2021-10-28 03:13:09.805063,kt_house
296479,0.99,511.87,2021-10-28 03:13:39.922749,kt_house
142427,0.47,246.75,2021-10-28 03:14:10.497258,kt_house
75438,0.25,131.16,2021-10-28 03:14:41.216508,kt_house
215489,0.72,372.58,2021-10-28 03:15:11.228957,kt_house
101313,0.34,175.84,2021-10-28 03:15:41.516295,kt_house
215152,0.72,372.00,2021-10-28 03:16:11.530320,kt_house
68015,0.23,118.33,2021-10-28 03:16:41.959517,kt_house
0,0.00,0.62,2021-10-28 03:17:12.965865,kt_house
92220,0.31,160.14,2021-10-28 03:17:43.251970,kt_house
182868,0.61,316.43,2021-10-28 03:18:13.986371,kt_house
105672,0.35,183.36,2021-10-28 03:18:44.385678,kt_house
99612,0.33,172.90,2021-10-28 03:19:14.575154,kt_house
0,0.00,0.62,2021-10-28 03:19:45.566908,kt_house
200110,0.67,346.11,2021-10-28 03:20:16.557220,kt_house
282568,0.94,487.95,2021-10-28 03:20:47.242808,kt_house
30582,0.10,53.59,2021-10-28 03:21:17.417912,kt_house
165544,0.55,286.59,2021-10-28 03:21:47.639629,kt_house
60626,0.20,105.56,2021-10-28 03:22:18.310752,kt_house
201564,0.67,348.62,2021-10-28 03:22:48.708892,kt_house
57875,0.19,100.80,2021-10-28 03:23:18.882894,kt_house
57882,0.19,100.82,2021-10-28 03:23:49.202515,kt_house
209219,0.70,361.79,2021-10-28 03:24:20.177388,kt_house
132986,0.44,230.48,2021-10-28 03:24:50.543197,kt_house
130601,0.44,226.37,2021-10-28 03:25:20.717639,kt_house
204249,0.68,353.24,2021-10-28 03:25:50.795370,kt_house
0,0.00,0.62,2021-10-28 03:26:21.802444,kt_house
27973,0.09,49.07,2021-10-28 03:26:52.137563,kt_house
239093,0.80,413.19,2021-10-28 03:27:22.968212,kt_house
0,0.00,0.62,2021-10-28 03:27:52.967513,kt_house
0,0.00,0.62,2021-10-28 03:28:23.975230,kt_house
0,0.00,0.62,2021-10-28 03:28:54.966947,kt_house
149380,0.50,258.74,2021-10-28 03:29:25.413929,kt_house
121916,0.41,211.39,2021-10-28 03:29:56.180877,kt_house
66004,0.22,114.85,2021-10-28 03:30:27.012465,kt_house
0,0.00,0.62,2021-10-28 03:30:58.004824,kt_house
0,0.00,0.62,2021-10-28 03:31:29.010978,kt_house
36091,0.12,63.12,2021-10-28 03:31:59.456707,kt_house
27667,0.09,48.54,2021-10-28 03:32:29.566221,kt_house
0,0.00,0.62,2021-10-28 03:33:00.573291,kt_house
0,0.00,0.62,2021-10-28 03:33:31.563594,kt_house
